year,low_emissions_pr,high_emissions_pr
2015,2.2746719e-05,2.7650518e-05
2016,2.0848358e-05,2.380147e-05
2017,2.1437392e-05,2.3730543e-05
2018,2.565794e-05,2.018172e-05
2019,2.7681295e-05,2.5443946e-05
2020,2.5704503e-05,2.3360464e-05
2021,2.5976164e-05,2.309108e-05
2022,2.2289729e-05,2.2868999e-05
2023,2.4576892e-05,2.0767971e-05
2024,2.4914876e-05,2.5830514e-05
2025,2.4520083e-05,2.5738622e-05
2026,2.4331894e-05,2.327104e-05
2027,2.4663079e-05,2.502038e-05
2028,2.2146894e-05,2.2579286e-05
2029,2.658519e-05,2.390282e-05
2030,2.6754824e-05,2.498253e-05
2031,2.66556e-05,2.395684e-05
2032,2.4258938e-05,2.7835227e-05
2033,2.0645311e-05,2.5015877e-05
2034,2.463538e-05,2.4325529e-05
2035,2.5263784e-05,2.8205377e-05
2036,2.2277878e-05,2.640803e-05
2037,2.3707957e-05,2.0892649e-05
2038,2.7335138e-05,2.838461e-05
2039,2.6556474e-05,2.148809e-05
2040,2.1817577e-05,2.3119148e-05
2041,2.2129629e-05,2.4882449e-05
2042,2.6691874e-05,2.625362e-05
2043,2.6891852e-05,2.2182947e-05
2044,2.3090368e-05,2.3037146e-05
2045,2.3783743e-05,2.3790572e-05
2046,2.7732467e-05,2.5067788e-05
2047,2.6390611e-05,2.4280764e-05
2048,2.283267e-05,2.6973225e-05
2049,2.6236114e-05,2.9476865e-05
2050,2.5826666e-05,2.3075463e-05
2051,2.4340568e-05,2.3617087e-05
2052,2.3739947e-05,2.4115527e-05
2053,2.5712403e-05,2.4597959e-05
2054,2.3421506e-05,2.675758e-05
2055,2.388341e-05,2.7528607e-05
2056,2.6451195e-05,2.4525923e-05
2057,2.709527e-05,2.8079621e-05
2058,2.1069052e-05,2.603583e-05
2059,2.8739558e-05,2.4496678e-05
2060,2.3749906e-05,2.676197e-05
2061,2.499083e-05,2.7924783e-05
2062,2.5495166e-05,2.2786859e-05
2063,2.754969e-05,2.0304933e-05
2064,2.3940675e-05,2.3269997e-05
2065,2.5934487e-05,2.1380898e-05
2066,2.6323392e-05,2.1317304e-05
2067,2.6646896e-05,2.5433961e-05
2068,2.4357107e-05,2.7706872e-05
2069,2.6566586e-05,2.1753676e-05
2070,2.57932e-05,2.6261903e-05
2071,2.572257e-05,2.9149798e-05
2072,1.7970215e-05,2.5284482e-05
2073,2.7469638e-05,2.3776416e-05
2074,2.6161677e-05,2.57285e-05
2075,2.651001e-05,2.1533522e-05
2076,2.7474063e-05,2.9706789e-05
2077,2.3688312e-05,2.4703519e-05
2078,2.532978e-05,2.3150547e-05
2079,2.5437455e-05,2.4302108e-05
2080,2.6550446e-05,2.9275283e-05
2081,2.545116e-05,2.387643e-05
2082,2.5439695e-05,2.8455659e-05
2083,2.7485175e-05,2.6248987e-05
2084,2.8832956e-05,2.5350202e-05
2085,2.4185416e-05,2.8996179e-05
2086,2.554157e-05,2.4605675e-05
2087,2.6983742e-05,2.561298e-05
2088,2.5617413e-05,2.6308015e-05
2089,2.3198458e-05,2.7866092e-05
2090,2.4125522e-05,2.6404548e-05
2091,2.3447084e-05,2.4896766e-05
2092,2.6713453e-05,2.7507609e-05
2093,2.3985831e-05,2.5878213e-05
2094,2.2956523e-05,2.6437312e-05
2095,2.5042847e-05,2.725471e-05
2096,2.3661776e-05,2.8360546e-05
2097,2.0059384e-05,2.7348628e-05
2098,2.930201e-05,2.5637732e-05
2099,2.9376954e-05,2.2529382e-05
2100,2.3427152e-05,2.774543e-05
