year,pr
2015,4.692707e-05
2016,4.1296982e-05
2017,4.4579923e-05
2018,4.5855857e-05
2019,4.777569e-05
2020,4.5234992e-05
2021,4.3950735e-05
2022,4.4086406e-05
2023,4.275494e-05
2024,4.1604642e-05
2025,4.0936597e-05
2026,4.8887767e-05
2027,3.9332816e-05
2028,4.3055377e-05
2029,4.52533e-05
2030,4.7767106e-05
2031,4.292846e-05
2032,4.5844758e-05
2033,4.1531468e-05
2034,4.190382e-05
2035,4.8132824e-05
2036,4.3328608e-05
2037,4.6496916e-05
2038,4.9214806e-05
2039,4.324445e-05
2040,4.3803026e-05
2041,4.3316875e-05
2042,4.5927103e-05
2043,4.4117296e-05
2044,4.0970128e-05
2045,4.03107e-05
2046,4.412216e-05
2047,4.757751e-05
2048,4.15097e-05
2049,4.3466982e-05
2050,4.5244327e-05
2051,4.421589e-05
2052,4.441893e-05
2053,4.8634105e-05
2054,4.6285368e-05
2055,4.83284e-05
2056,5.1240942e-05
2057,4.5683344e-05
2058,4.4501325e-05
2059,4.6461766e-05
2060,4.441936e-05
2061,4.277893e-05
2062,4.709795e-05
2063,5.074924e-05
2064,3.831871e-05
2065,5.097811e-05
2066,4.6504272e-05
2067,5.14941e-05
2068,3.967598e-05
2069,4.7127352e-05
2070,4.4851193e-05
2071,4.5487115e-05
2072,3.896043e-05
2073,5.1165935e-05
2074,5.1281262e-05
2075,4.2187374e-05
2076,4.62587e-05
2077,4.8945363e-05
2078,4.4112625e-05
2079,4.7832113e-05
2080,4.6275494e-05
2081,4.1100622e-05
2082,4.4982353e-05
2083,4.8468395e-05
2084,4.989612e-05
2085,4.612655e-05
2086,4.7163598e-05
2087,4.6993697e-05
2088,4.1865333e-05
2089,4.673086e-05
2090,4.243236e-05
2091,4.5162153e-05
2092,4.4246448e-05
2093,4.4755216e-05
2094,4.378508e-05
2095,4.446045e-05
2096,4.181178e-05
2097,3.8755927e-05
2098,4.905102e-05
2099,4.5727807e-05
2100,4.6767465e-05
