year,pr
2015,1.3980207e-05
2016,1.804617e-05
2017,2.0610596e-05
2018,1.9601624e-05
2019,2.075504e-05
2020,1.9416388e-05
2021,1.4073437e-05
2022,1.8083412e-05
2023,1.9585115e-05
2024,1.7719805e-05
2025,1.9333613e-05
2026,1.9241035e-05
2027,1.7764249e-05
2028,1.6650401e-05
2029,2.1877231e-05
2030,2.059229e-05
2031,1.9780433e-05
2032,1.796341e-05
2033,1.5438849e-05
2034,1.562292e-05
2035,1.5583444e-05
2036,1.8635901e-05
2037,1.9100697e-05
2038,2.144684e-05
2039,1.675159e-05
2040,1.836077e-05
2041,1.7006329e-05
2042,2.26397e-05
2043,2.1371035e-05
2044,2.1408026e-05
2045,2.2131242e-05
2046,1.8263425e-05
2047,1.708318e-05
2048,1.5530914e-05
2049,2.1284954e-05
2050,1.6467215e-05
2051,1.9219524e-05
2052,1.4970803e-05
2053,2.2199794e-05
2054,2.0332787e-05
2055,1.9694306e-05
2056,1.6493872e-05
2057,2.2623688e-05
2058,2.1865259e-05
2059,2.0139578e-05
2060,1.8531717e-05
2061,1.8528646e-05
2062,1.5507798e-05
2063,2.1712967e-05
2064,1.447428e-05
2065,1.9786416e-05
2066,2.414815e-05
2067,1.7103599e-05
2068,2.0319572e-05
2069,1.848182e-05
2070,2.2916394e-05
2071,1.9387333e-05
2072,1.6626918e-05
2073,2.2270426e-05
2074,1.9217507e-05
2075,2.2535045e-05
2076,1.9396766e-05
2077,2.067907e-05
2078,2.0022659e-05
2079,2.366102e-05
2080,1.594586e-05
2081,1.9537505e-05
2082,1.6873588e-05
2083,2.4337784e-05
2084,1.6753012e-05
2085,1.689798e-05
2086,2.0646026e-05
2087,2.3111035e-05
2088,1.7080092e-05
2089,2.3498404e-05
2090,1.7497354e-05
2091,2.115947e-05
2092,2.2093076e-05
2093,1.8392768e-05
2094,1.6424021e-05
2095,2.0593274e-05
2096,1.962058e-05
2097,1.6780416e-05
2098,2.3227733e-05
2099,2.1745076e-05
2100,1.444246e-05
