year,low_emissions_pr,high_emissions_pr
2015,1.3980207e-05,1.9327304e-05
2016,1.804617e-05,1.8894034e-05
2017,2.0610596e-05,1.6781854e-05
2018,1.9601624e-05,1.6685488e-05
2019,2.075504e-05,1.6349379e-05
2020,1.9416388e-05,2.0443016e-05
2021,1.4073437e-05,1.763222e-05
2022,1.8083412e-05,2.0037756e-05
2023,1.9585115e-05,1.6307287e-05
2024,1.7719805e-05,1.606572e-05
2025,1.9333613e-05,1.5026361e-05
2026,1.9241035e-05,1.9907744e-05
2027,1.7764249e-05,1.818552e-05
2028,1.6650401e-05,1.7636923e-05
2029,2.1877231e-05,1.797265e-05
2030,2.059229e-05,1.6123784e-05
2031,1.9780433e-05,2.2139875e-05
2032,1.796341e-05,2.0783733e-05
2033,1.5438849e-05,2.0437867e-05
2034,1.562292e-05,1.9502253e-05
2035,1.5583444e-05,2.2012184e-05
2036,1.8635901e-05,1.9881592e-05
2037,1.9100697e-05,1.6589143e-05
2038,2.144684e-05,1.832027e-05
2039,1.675159e-05,1.8023493e-05
2040,1.836077e-05,1.7722241e-05
2041,1.7006329e-05,2.2189086e-05
2042,2.26397e-05,1.9112706e-05
2043,2.1371035e-05,1.8351475e-05
2044,2.1408026e-05,1.6616916e-05
2045,2.2131242e-05,2.0843583e-05
2046,1.8263425e-05,1.779448e-05
2047,1.708318e-05,1.7131813e-05
2048,1.5530914e-05,1.6754699e-05
2049,2.1284954e-05,2.3052682e-05
2050,1.6467215e-05,1.9059407e-05
2051,1.9219524e-05,1.9196561e-05
2052,1.4970803e-05,1.954561e-05
2053,2.2199794e-05,2.4223144e-05
2054,2.0332787e-05,2.1725155e-05
2055,1.9694306e-05,1.7733446e-05
2056,1.6493872e-05,2.288552e-05
2057,2.2623688e-05,2.0445535e-05
2058,2.1865259e-05,2.0092952e-05
2059,2.0139578e-05,1.810517e-05
2060,1.8531717e-05,2.068832e-05
2061,1.8528646e-05,2.0032146e-05
2062,1.5507798e-05,1.5958953e-05
2063,2.1712967e-05,2.0559051e-05
2064,1.447428e-05,1.4411846e-05
2065,1.9786416e-05,2.3958539e-05
2066,2.414815e-05,1.8692403e-05
2067,1.7103599e-05,1.6930224e-05
2068,2.0319572e-05,2.0008767e-05
2069,1.848182e-05,1.7814904e-05
2070,2.2916394e-05,1.7788552e-05
2071,1.9387333e-05,2.2244843e-05
2072,1.6626918e-05,1.6338798e-05
2073,2.2270426e-05,2.149534e-05
2074,1.9217507e-05,1.490596e-05
2075,2.2535045e-05,2.0798087e-05
2076,1.9396766e-05,2.1234377e-05
2077,2.067907e-05,2.0970043e-05
2078,2.0022659e-05,1.6503936e-05
2079,2.366102e-05,2.1338858e-05
2080,1.594586e-05,2.1468824e-05
2081,1.9537505e-05,1.8380617e-05
2082,1.6873588e-05,2.2143833e-05
2083,2.4337784e-05,2.2359396e-05
2084,1.6753012e-05,2.3037399e-05
2085,1.689798e-05,2.2218808e-05
2086,2.0646026e-05,2.173216e-05
2087,2.3111035e-05,2.034609e-05
2088,1.7080092e-05,1.6053711e-05
2089,2.3498404e-05,2.5315789e-05
2090,1.7497354e-05,2.1217886e-05
2091,2.115947e-05,1.9619234e-05
2092,2.2093076e-05,2.0193658e-05
2093,1.8392768e-05,2.139666e-05
2094,1.6424021e-05,1.883502e-05
2095,2.0593274e-05,1.8635272e-05
2096,1.962058e-05,2.4396779e-05
2097,1.6780416e-05,2.1573114e-05
2098,2.3227733e-05,2.0322785e-05
2099,2.1745076e-05,1.7238439e-05
2100,1.444246e-05,2.1737142e-05
