year,pr
2015,3.4430363e-05
2016,3.4637866e-05
2017,2.9521827e-05
2018,3.4761e-05
2019,3.841093e-05
2020,3.685161e-05
2021,2.9771989e-05
2022,3.2843134e-05
2023,4.0284387e-05
2024,3.0775223e-05
2025,3.562353e-05
2026,3.674261e-05
2027,3.262905e-05
2028,2.8095721e-05
2029,4.0455543e-05
2030,3.8827107e-05
2031,3.280633e-05
2032,3.582369e-05
2033,3.008543e-05
2034,3.272959e-05
2035,2.9272293e-05
2036,3.504042e-05
2037,4.0221097e-05
2038,3.598913e-05
2039,3.2288932e-05
2040,3.109651e-05
2041,3.3585693e-05
2042,3.785435e-05
2043,3.282312e-05
2044,3.50375e-05
2045,3.5816804e-05
2046,3.7207683e-05
2047,3.846889e-05
2048,3.4759432e-05
2049,3.5192905e-05
2050,4.0735744e-05
2051,3.1535634e-05
2052,2.9534744e-05
2053,3.6740705e-05
2054,3.1335643e-05
2055,3.410245e-05
2056,3.6787664e-05
2057,3.5789257e-05
2058,3.1753338e-05
2059,3.4971683e-05
2060,3.668603e-05
2061,3.5617057e-05
2062,2.98705e-05
2063,3.869422e-05
2064,3.4151482e-05
2065,3.2980275e-05
2066,4.00576e-05
2067,3.875395e-05
2068,3.1310752e-05
2069,3.335774e-05
2070,3.9694143e-05
2071,3.6990023e-05
2072,3.2996195e-05
2073,3.821677e-05
2074,3.441221e-05
2075,3.4679e-05
2076,3.47502e-05
2077,3.3307882e-05
2078,3.0103716e-05
2079,3.7153353e-05
2080,3.977933e-05
2081,3.8697453e-05
2082,3.599395e-05
2083,3.4191435e-05
2084,3.7174104e-05
2085,3.4622455e-05
2086,3.4463428e-05
2087,3.559006e-05
2088,3.1371066e-05
2089,3.759816e-05
2090,3.6146506e-05
2091,3.3007007e-05
2092,3.626337e-05
2093,3.5962446e-05
2094,3.3329394e-05
2095,3.8514507e-05
2096,3.264897e-05
2097,2.6385771e-05
2098,3.9722985e-05
2099,3.6452933e-05
2100,3.303288e-05
