year,pr
1850,1.9806093e-05
1851,2.1122387e-05
1852,2.3188213e-05
1853,2.474221e-05
1854,2.5931939e-05
1855,2.1401294e-05
1856,2.0562811e-05
1857,2.1521473e-05
1858,2.1972883e-05
1859,2.2354312e-05
1860,2.1890351e-05
1861,2.1439553e-05
1862,1.969054e-05
1863,1.9375277e-05
1864,2.1518392e-05
1865,2.488611e-05
1866,2.6253481e-05
1867,2.3635206e-05
1868,2.3817205e-05
1869,1.9472487e-05
1870,2.1380645e-05
1871,2.3944396e-05
1872,2.1707781e-05
1873,2.1329435e-05
1874,2.5460064e-05
1875,2.2606904e-05
1876,2.3303646e-05
1877,2.0825915e-05
1878,2.3249982e-05
1879,2.4468804e-05
1880,2.1743017e-05
1881,2.5859772e-05
1882,1.910202e-05
1883,2.5204468e-05
1884,2.0356394e-05
1885,2.1706506e-05
1886,2.186172e-05
1887,2.5541542e-05
1888,2.7689628e-05
1889,2.4865269e-05
1890,2.2636188e-05
1891,2.4097646e-05
1892,2.5099784e-05
1893,2.3961253e-05
1894,2.354866e-05
1895,2.2802751e-05
1896,2.2701384e-05
1897,2.3658125e-05
1898,2.204579e-05
1899,2.2179653e-05
1900,2.5094427e-05
1901,2.3126735e-05
1902,2.139687e-05
1903,2.2310967e-05
1904,2.1688844e-05
1905,2.3436529e-05
1906,2.1792852e-05
1907,2.2737533e-05
1908,2.152951e-05
1909,2.5471632e-05
1910,2.1308353e-05
1911,2.2356233e-05
1912,2.5023683e-05
1913,2.5110163e-05
1914,2.3825876e-05
1915,2.4017745e-05
1916,2.2334087e-05
1917,2.0121628e-05
1918,2.3871055e-05
1919,2.2592005e-05
1920,1.9597404e-05
1921,2.1680089e-05
1922,2.3951008e-05
1923,2.2942917e-05
1924,2.3680921e-05
1925,2.7059354e-05
1926,2.2876044e-05
1927,2.265152e-05
1928,2.4124138e-05
1929,2.1606767e-05
1930,2.1509335e-05
1931,2.4135086e-05
1932,2.3983728e-05
1933,2.38374e-05
1934,2.3499355e-05
1935,2.4287627e-05
1936,2.1886663e-05
1937,2.3996983e-05
1938,2.1466301e-05
1939,2.256719e-05
1940,2.3306551e-05
1941,2.6884136e-05
1942,2.5322204e-05
1943,2.3873483e-05
1944,2.582242e-05
1945,2.3866833e-05
1946,2.422066e-05
1947,2.4579818e-05
1948,2.0817817e-05
1949,2.1120679e-05
1950,2.1913953e-05
1951,2.2439182e-05
1952,2.1375998e-05
1953,2.1067824e-05
1954,2.255075e-05
1955,2.2297745e-05
1956,2.4988341e-05
1957,2.2429014e-05
1958,2.4438283e-05
1959,2.4177445e-05
1960,2.2245846e-05
1961,2.410591e-05
1962,2.3707378e-05
1963,1.951132e-05
1964,2.4077692e-05
1965,2.2388029e-05
1966,1.867224e-05
1967,2.3198267e-05
1968,2.4416571e-05
1969,2.1367643e-05
1970,2.2997005e-05
1971,2.1068137e-05
1972,2.5152462e-05
1973,2.5609299e-05
1974,2.0994645e-05
1975,2.2061917e-05
1976,2.0973015e-05
1977,1.9786668e-05
1978,2.1634027e-05
1979,2.5342428e-05
1980,2.3043838e-05
1981,2.1337988e-05
1982,2.3953873e-05
1983,2.4496088e-05
1984,2.0438529e-05
1985,2.0690331e-05
1986,2.1033968e-05
1987,2.307271e-05
1988,2.3897817e-05
1989,2.3186558e-05
1990,2.4979974e-05
1991,2.2413538e-05
1992,2.930797e-05
1993,2.0552756e-05
1994,2.3511919e-05
1995,2.2422037e-05
1996,2.4255083e-05
1997,2.517832e-05
1998,2.4510467e-05
1999,2.31566e-05
2000,2.8709192e-05
2001,2.100918e-05
2002,2.1543421e-05
2003,2.3035007e-05
2004,2.4126488e-05
2005,2.6113701e-05
2006,1.9311346e-05
2007,2.3697214e-05
2008,2.2804063e-05
2009,2.2183356e-05
2010,2.2579012e-05
2011,2.3083154e-05
2012,2.5715679e-05
2013,2.4523466e-05
2014,2.1520153e-05
