year,pr
1850,3.44488e-05
1851,4.340316e-05
1852,4.048696e-05
1853,3.816459e-05
1854,4.0789153e-05
1855,4.1556435e-05
1856,3.589931e-05
1857,3.432498e-05
1858,4.2344836e-05
1859,4.318058e-05
1860,4.0768857e-05
1861,4.2813506e-05
1862,4.524035e-05
1863,3.4896333e-05
1864,4.746445e-05
1865,4.6286383e-05
1866,4.261743e-05
1867,4.1036088e-05
1868,4.0740168e-05
1869,4.0038107e-05
1870,3.882447e-05
1871,4.4154374e-05
1872,4.696466e-05
1873,4.1496533e-05
1874,3.878114e-05
1875,4.0615723e-05
1876,4.664426e-05
1877,4.0208794e-05
1878,4.349473e-05
1879,4.395504e-05
1880,4.0911076e-05
1881,4.4656685e-05
1882,4.2582655e-05
1883,3.9765993e-05
1884,4.4283446e-05
1885,3.627281e-05
1886,4.410803e-05
1887,4.2899967e-05
1888,4.5506207e-05
1889,3.9673356e-05
1890,4.4263426e-05
1891,4.0014627e-05
1892,4.471858e-05
1893,4.1939074e-05
1894,4.007432e-05
1895,4.0814677e-05
1896,3.988319e-05
1897,4.1568706e-05
1898,3.9988507e-05
1899,4.2041713e-05
1900,4.8302354e-05
1901,4.1505158e-05
1902,4.3953543e-05
1903,4.159232e-05
1904,4.3674318e-05
1905,4.2849595e-05
1906,4.4552864e-05
1907,4.591806e-05
1908,4.0270806e-05
1909,3.941882e-05
1910,4.227545e-05
1911,4.0873303e-05
1912,4.241933e-05
1913,4.0220035e-05
1914,4.594691e-05
1915,3.968425e-05
1916,4.3752247e-05
1917,4.0528965e-05
1918,4.2280648e-05
1919,4.185818e-05
1920,4.345016e-05
1921,3.827894e-05
1922,4.2599117e-05
1923,4.001352e-05
1924,3.9287515e-05
1925,4.6816647e-05
1926,4.2298932e-05
1927,4.4483415e-05
1928,3.998642e-05
1929,4.0429706e-05
1930,3.8954087e-05
1931,4.5457018e-05
1932,4.304028e-05
1933,4.503632e-05
1934,4.459477e-05
1935,4.526407e-05
1936,4.5954606e-05
1937,4.4136705e-05
1938,4.317967e-05
1939,4.1150593e-05
1940,4.4883982e-05
1941,4.3443382e-05
1942,4.205092e-05
1943,4.0457544e-05
1944,4.576967e-05
1945,4.1305895e-05
1946,4.4736444e-05
1947,4.562668e-05
1948,3.9319795e-05
1949,3.433112e-05
1950,3.769021e-05
1951,4.703006e-05
1952,4.4155146e-05
1953,4.2103504e-05
1954,4.2589847e-05
1955,4.824923e-05
1956,4.2641248e-05
1957,4.3550262e-05
1958,4.65177e-05
1959,4.4237775e-05
1960,3.868056e-05
1961,3.7649257e-05
1962,4.104223e-05
1963,3.7173308e-05
1964,4.4684468e-05
1965,4.292739e-05
1966,3.988863e-05
1967,3.9814353e-05
1968,4.600838e-05
1969,3.858773e-05
1970,4.2898304e-05
1971,3.8244194e-05
1972,3.7616057e-05
1973,4.4387267e-05
1974,3.954972e-05
1975,3.7070215e-05
1976,4.237733e-05
1977,4.3778993e-05
1978,4.1451785e-05
1979,3.977709e-05
1980,4.2459815e-05
1981,4.0250947e-05
1982,4.4416072e-05
1983,4.3635908e-05
1984,4.6463698e-05
1985,3.754307e-05
1986,4.0927764e-05
1987,4.2271287e-05
1988,4.7198962e-05
1989,3.966433e-05
1990,4.171365e-05
1991,3.8328053e-05
1992,4.4325938e-05
1993,3.9046277e-05
1994,4.3481992e-05
1995,3.928924e-05
1996,4.430257e-05
1997,3.9716328e-05
1998,4.4225722e-05
1999,3.6873276e-05
2000,5.0080118e-05
2001,3.9454662e-05
2002,4.114155e-05
2003,4.3027936e-05
2004,4.1037052e-05
2005,4.42941e-05
2006,4.0801435e-05
2007,4.0834646e-05
2008,4.236706e-05
2009,4.1925738e-05
2010,4.5679077e-05
2011,4.0226496e-05
2012,4.3022712e-05
2013,4.3888755e-05
2014,3.9618848e-05
