year,pr
1850,1.6834098e-05
1851,1.8544348e-05
1852,1.9239815e-05
1853,2.169987e-05
1854,1.8710221e-05
1855,1.9779409e-05
1856,1.7453225e-05
1857,1.571238e-05
1858,1.4458017e-05
1859,1.5776304e-05
1860,1.5673684e-05
1861,1.4929472e-05
1862,1.8077562e-05
1863,1.787528e-05
1864,1.69843e-05
1865,1.8760678e-05
1866,1.8066554e-05
1867,1.68557e-05
1868,1.7778126e-05
1869,1.5325213e-05
1870,1.6464284e-05
1871,1.8316156e-05
1872,1.6528356e-05
1873,1.7443837e-05
1874,2.1745427e-05
1875,1.7365266e-05
1876,1.7072505e-05
1877,2.0479303e-05
1878,2.0544627e-05
1879,1.8922383e-05
1880,1.9821005e-05
1881,1.6716187e-05
1882,1.7260927e-05
1883,1.5888625e-05
1884,1.8892715e-05
1885,2.0772526e-05
1886,1.5834075e-05
1887,1.521598e-05
1888,1.7705255e-05
1889,1.6475058e-05
1890,1.6059666e-05
1891,1.7124648e-05
1892,1.9867495e-05
1893,1.7412267e-05
1894,1.8018061e-05
1895,1.8443987e-05
1896,1.8862778e-05
1897,1.9172412e-05
1898,1.709415e-05
1899,1.7281003e-05
1900,1.7007676e-05
1901,1.7428647e-05
1902,1.4522123e-05
1903,1.5676165e-05
1904,1.856671e-05
1905,1.9740766e-05
1906,1.7148112e-05
1907,1.8403458e-05
1908,1.6805745e-05
1909,1.9016612e-05
1910,1.7270582e-05
1911,1.630255e-05
1912,1.795363e-05
1913,2.1785903e-05
1914,1.7220142e-05
1915,1.6462453e-05
1916,1.595166e-05
1917,1.7471548e-05
1918,1.4834824e-05
1919,1.6661164e-05
1920,1.6092428e-05
1921,1.6463804e-05
1922,1.8959367e-05
1923,1.8241904e-05
1924,1.9837116e-05
1925,1.5833e-05
1926,1.7737444e-05
1927,1.8266155e-05
1928,1.9793635e-05
1929,1.6255322e-05
1930,1.8637045e-05
1931,2.0317899e-05
1932,1.5334104e-05
1933,1.7204158e-05
1934,1.691353e-05
1935,1.594132e-05
1936,2.0165427e-05
1937,1.8934017e-05
1938,1.7284527e-05
1939,1.5595671e-05
1940,1.660182e-05
1941,2.066437e-05
1942,1.5207159e-05
1943,1.5748139e-05
1944,1.8707422e-05
1945,2.228037e-05
1946,1.5948715e-05
1947,1.681916e-05
1948,1.5511756e-05
1949,1.5150937e-05
1950,1.6451142e-05
1951,1.7202177e-05
1952,1.579084e-05
1953,1.6098162e-05
1954,1.7230877e-05
1955,1.853667e-05
1956,1.991888e-05
1957,1.5880081e-05
1958,2.2016055e-05
1959,1.737917e-05
1960,1.6785965e-05
1961,1.5692947e-05
1962,1.692133e-05
1963,1.73484e-05
1964,1.721343e-05
1965,1.6973165e-05
1966,1.5085134e-05
1967,1.5195348e-05
1968,1.6660255e-05
1969,1.6075126e-05
1970,1.8047695e-05
1971,1.6728682e-05
1972,1.686321e-05
1973,1.9718962e-05
1974,1.915521e-05
1975,1.6668848e-05
1976,1.491897e-05
1977,1.7671737e-05
1978,1.6770038e-05
1979,1.627145e-05
1980,1.6840382e-05
1981,1.50334245e-05
1982,1.6606371e-05
1983,1.7009183e-05
1984,1.5685508e-05
1985,1.8072838e-05
1986,1.8683158e-05
1987,1.950908e-05
1988,1.797885e-05
1989,1.8741892e-05
1990,1.5472504e-05
1991,1.9278912e-05
1992,2.130565e-05
1993,2.0047377e-05
1994,1.9916724e-05
1995,1.6419253e-05
1996,1.7028126e-05
1997,1.7636547e-05
1998,1.9857318e-05
1999,1.8042772e-05
2000,1.653036e-05
2001,1.7294304e-05
2002,1.8959518e-05
2003,1.5241179e-05
2004,1.6982845e-05
2005,1.6759112e-05
2006,1.5422913e-05
2007,1.5225015e-05
2008,1.6098107e-05
2009,1.9826102e-05
2010,1.8456856e-05
2011,1.5596224e-05
2012,1.9464665e-05
2013,1.8426965e-05
2014,1.7830762e-05
