year,pr
1850,2.8877925e-05
1851,2.9738276e-05
1852,3.3091856e-05
1853,3.040893e-05
1854,3.556419e-05
1855,3.3242115e-05
1856,3.0803847e-05
1857,2.9204748e-05
1858,3.0348041e-05
1859,3.593101e-05
1860,3.1319298e-05
1861,3.3019314e-05
1862,3.1072286e-05
1863,2.8044036e-05
1864,3.301805e-05
1865,3.3864035e-05
1866,3.589612e-05
1867,3.175787e-05
1868,3.1945936e-05
1869,2.874458e-05
1870,2.7263253e-05
1871,2.965297e-05
1872,3.4381497e-05
1873,2.9734392e-05
1874,2.9463668e-05
1875,3.6126192e-05
1876,3.0978375e-05
1877,3.0389507e-05
1878,3.461002e-05
1879,3.1203934e-05
1880,2.9434386e-05
1881,3.5272456e-05
1882,3.1085332e-05
1883,3.54569e-05
1884,3.5744917e-05
1885,3.2311094e-05
1886,2.739145e-05
1887,3.05837e-05
1888,3.7415648e-05
1889,3.2542786e-05
1890,3.0383533e-05
1891,3.3503493e-05
1892,3.6850273e-05
1893,3.541372e-05
1894,3.2062613e-05
1895,2.9222792e-05
1896,3.0244442e-05
1897,3.2607244e-05
1898,3.3249016e-05
1899,2.7934388e-05
1900,3.3487337e-05
1901,3.2546017e-05
1902,3.30475e-05
1903,2.7868715e-05
1904,2.8793218e-05
1905,3.1038522e-05
1906,2.9560486e-05
1907,2.9549203e-05
1908,3.5870566e-05
1909,3.290907e-05
1910,2.900528e-05
1911,3.2556778e-05
1912,3.5231657e-05
1913,3.7072874e-05
1914,3.625494e-05
1915,3.062227e-05
1916,3.0493557e-05
1917,2.7404118e-05
1918,2.8719645e-05
1919,3.206205e-05
1920,3.1175652e-05
1921,2.7159993e-05
1922,3.340073e-05
1923,3.4782195e-05
1924,3.487777e-05
1925,2.9596304e-05
1926,3.0374602e-05
1927,3.5256682e-05
1928,3.4730587e-05
1929,3.2077864e-05
1930,2.924506e-05
1931,3.3231565e-05
1932,3.4495177e-05
1933,3.2071337e-05
1934,3.4991663e-05
1935,3.4789e-05
1936,2.84624e-05
1937,3.219669e-05
1938,3.460256e-05
1939,2.923233e-05
1940,2.9609888e-05
1941,3.6809764e-05
1942,3.140224e-05
1943,3.2908545e-05
1944,3.0646057e-05
1945,3.445527e-05
1946,3.1210246e-05
1947,2.9397239e-05
1948,2.9279432e-05
1949,3.839152e-05
1950,2.896964e-05
1951,2.8830715e-05
1952,3.2204338e-05
1953,3.249069e-05
1954,3.439646e-05
1955,3.2939453e-05
1956,2.9559382e-05
1957,3.1776606e-05
1958,3.5053414e-05
1959,3.732713e-05
1960,2.7965787e-05
1961,3.4094803e-05
1962,3.4110217e-05
1963,3.5976573e-05
1964,3.0026682e-05
1965,3.2620337e-05
1966,3.067253e-05
1967,2.9391964e-05
1968,3.0734223e-05
1969,3.4246215e-05
1970,3.602525e-05
1971,2.9761246e-05
1972,3.230248e-05
1973,3.4719866e-05
1974,3.11895e-05
1975,3.3628774e-05
1976,3.4147422e-05
1977,3.066766e-05
1978,3.725397e-05
1979,3.0189985e-05
1980,3.2695927e-05
1981,3.1574724e-05
1982,2.7288235e-05
1983,3.161538e-05
1984,2.8043129e-05
1985,3.2555618e-05
1986,3.259026e-05
1987,3.3702032e-05
1988,3.0598865e-05
1989,3.4323657e-05
1990,3.041533e-05
1991,2.9133726e-05
1992,3.5373956e-05
1993,2.8994225e-05
1994,3.017309e-05
1995,3.055045e-05
1996,2.9798133e-05
1997,3.6455793e-05
1998,3.937817e-05
1999,3.108191e-05
2000,3.345178e-05
2001,3.424194e-05
2002,3.689304e-05
2003,3.4485693e-05
2004,3.494894e-05
2005,3.3623466e-05
2006,2.868803e-05
2007,3.2981505e-05
2008,3.9100134e-05
2009,3.2105894e-05
2010,3.058537e-05
2011,3.672171e-05
2012,3.5351164e-05
2013,3.3390876e-05
2014,2.6983314e-05
