city,year,latitude,longitude,population,pr
Abilene,2015,32.4543,-99.73840000000001,123420,1.7095092e-05
Akron,2015,41.0798,-81.52190000000002,565208,3.0175308e-05
Albany,2015,42.6664,-73.7987,586383,3.8933656e-05
Albuquerque,2015,35.1053,-106.64639999999997,761195,1.1403591e-05
Alexandria,2015,38.8185,-77.08609999999999,159428,4.317687e-05
Allen,2015,33.1088,-96.67349999999999,105623,2.4401003e-05
Allentown,2015,40.5961,-75.47559999999999,683794,4.712581e-05
Amarillo,2015,35.1988,-101.83109999999999,205603,1.3313515e-05
Anaheim,2015,33.839,-117.85720000000003,350365,5.120916e-06
Anchorage,2015,61.1508,-149.1091,288000,5.878837e-05
Ann Arbor,2015,42.2755,-83.7312,322267,2.2967119e-05
Antioch,2015,37.9789,-121.79579999999999,302419,1.6090871e-05
Appleton,2015,44.2779,-88.38909999999998,220570,1.7142427e-05
Arden-Arcade,2015,38.6034,-121.38099999999997,102864,1.6090871e-05
Arlington,2015,32.6998,-97.125,632318,3.2679683e-05
Arvada,2015,39.8321,-105.15109999999999,121272,2.2202817e-05
Asheville,2015,35.5704,-82.55360000000002,312507,4.9928585e-05
Athens,2015,33.9508,-83.3689,141532,5.2708278e-05
Atlanta,2015,33.7627,-84.42239999999998,5449398,4.7541802e-05
Atlantic City,2015,39.3797,-74.4527,237054,5.2515123e-05
Augusta,2015,33.3645,-82.07080000000002,390809,4.772808e-05
Aurora,2015,39.7087,-104.72730000000001,577046,2.167606e-05
Austin,2015,30.3004,-97.75220000000002,1687311,2.3003937e-05
Avondale,2015,33.3858,-112.3236,227289,5.819342e-06
Bakersfield,2015,35.3529,-119.03589999999997,579295,7.123663e-06
Baltimore,2015,39.3051,-76.61439999999999,2106068,4.647631e-05
Barnstable,2015,41.6722,-70.35989999999998,242847,5.1136445e-05
Baton Rouge,2015,30.4418,-91.13099999999997,570308,3.6577763e-05
Bayamón,2015,18.3793,-66.1635,161034,2.112592e-05
Beaumont,2015,30.0849,-94.14510000000001,146091,2.9963072e-05
Bellevue,2015,47.5951,-122.15350000000001,148164,4.391832e-05
Bellingham,2015,48.7543,-122.46870000000001,130641,5.1623065e-05
Bend,2015,44.0562,-121.30869999999999,109802,2.6093783e-05
Berkeley,2015,37.8723,-122.27600000000001,121363,1.7233293e-05
Billings,2015,45.7891,-108.55240000000003,120728,2.2546958e-05
Binghamton,2015,42.1014,-75.90930000000003,148145,3.84195e-05
Birmingham,2015,33.5277,-86.7987,739573,4.5606725e-05
Bloomington,2015,40.4757,-88.97030000000001,249730,2.8369777e-05
Boise,2015,43.6007,-116.2312,389280,1.8617175e-05
Bonita Springs,2015,26.3559,-81.78610000000003,421291,3.7330152e-05
Boston,2015,42.3188,-71.08460000000002,4688346,5.386626e-05
Boulder,2015,40.0249,-105.25229999999999,124345,2.2202817e-05
Brandon,2015,27.9367,-82.30000000000001,115911,3.9855448e-05
Bremerton,2015,47.5436,-122.7122,218400,4.391832e-05
Bridgeport,2015,41.1918,-73.19529999999997,924449,5.2127885e-05
Broken Arrow,2015,36.0365,-95.78089999999997,110198,2.389302e-05
Bronx,2015,40.8501,-73.86619999999999,1418207,5.2127885e-05
Brooklyn,2015,40.6501,-73.94960000000003,2559903,5.2127885e-05
Brownsville,2015,25.998,-97.4565,227239,2.0814963e-05
Buffalo,2015,42.9016,-78.84870000000001,914341,2.7911752e-05
Burbank,2015,34.1879,-118.32349999999997,102511,5.800943e-06
Burlington,2015,36.0758,-79.46859999999998,240806,3.7683363e-05
Cambridge,2015,42.3759,-71.11849999999998,118927,5.386626e-05
Canton,2015,40.8075,-81.36770000000001,269418,3.0175308e-05
Cape Coral,2015,26.6446,-81.99559999999997,668382,3.993685e-05
Carlsbad,2015,33.1247,-117.28370000000001,115382,5.120916e-06
Carmel,2015,39.965,-86.14600000000002,101068,2.7722446e-05
Carolina,2015,18.4054,-65.97919999999999,136771,2.112592e-05
Carrollton,2015,32.989,-96.8999,139248,2.4971087e-05
Cary,2015,35.782,-78.81909999999999,170282,4.7967333e-05
Cedar Rapids,2015,41.9665,-91.6782,188038,1.840943e-05
Centennial,2015,39.5926,-104.86739999999998,110937,2.2202817e-05
Champaign,2015,40.1144,-88.27350000000001,159443,2.3038141e-05
Chandler,2015,33.2826,-111.85160000000002,261165,8.541084e-06
Charleston,2015,32.8153,-79.96280000000002,767083,5.3433592e-05
Charlotte,2015,35.208,-80.8304,1512923,4.6578487e-05
Charlottesville,2015,38.0375,-78.4855,100416,4.4754855e-05
Chattanooga,2015,35.0657,-85.24880000000002,415501,5.4437773e-05
Chesapeake,2015,36.6778,-76.30240000000003,244835,5.5331897e-05
Chicago,2015,41.8373,-87.68619999999999,8604203,2.0624517e-05
Chico,2015,39.7575,-121.8152,117668,2.4730536e-05
Chula Vista,2015,32.6281,-117.0145,274492,5.315173e-06
Cincinnati,2015,39.1413,-84.5061,1662691,3.7974885e-05
Clarksville,2015,36.5695,-87.34199999999998,188746,4.7126407e-05
Clearwater,2015,27.9789,-82.7622,116946,3.9855448e-05
Cleveland,2015,41.4767,-81.68040000000002,1710093,2.5983645e-05
Clovis,2015,36.8278,-119.68309999999997,114584,1.3498892e-05
Coeur d'Alene,2015,47.7041,-116.7935,116834,2.2614384e-05
College Station,2015,30.5852,-96.29599999999999,215243,2.7160588e-05
Colorado Springs,2015,38.8674,-104.76060000000001,642413,1.9861265e-05
Columbia,2015,34.0376,-80.90370000000001,805677,3.8640053e-05
Columbus,2015,39.9862,-82.98500000000001,1823454,4.089493e-05
Concord,2015,37.9722,-122.0016,914109,3.190589e-05
Coral Springs,2015,26.2702,-80.25909999999999,133759,4.125045e-05
Corona,2015,33.8616,-117.56489999999997,169868,5.120916e-06
Corpus Christi,2015,27.726,-97.37549999999999,342464,2.0169788e-05
Costa Mesa,2015,33.6667,-117.9135,113003,5.120916e-06
Dallas,2015,32.7936,-96.76620000000003,5743938,2.4565588e-05
Daly City,2015,37.6862,-122.4685,106280,1.504684e-05
Danbury,2015,41.4016,-73.471,176030,5.2127885e-05
Davenport,2015,41.5563,-90.60519999999997,285362,2.0130325e-05
Davie,2015,26.0789,-80.28700000000003,106306,4.125045e-05
Dayton,2015,39.7797,-84.19979999999998,718353,3.2395157e-05
