city,city_name,population,year,precip
0,New York,18713220,2015,9.270684e-06
0,New York,18713220,2016,6.2295653e-06
0,New York,18713220,2017,7.390705e-06
0,New York,18713220,2018,8.19232e-06
0,New York,18713220,2019,7.951169e-06
0,New York,18713220,2020,8.461648e-06
0,New York,18713220,2021,1.3156529e-05
0,New York,18713220,2022,1.0555341e-05
0,New York,18713220,2023,7.27841e-06
0,New York,18713220,2024,9.596523e-06
0,New York,18713220,2025,1.0005169e-05
0,New York,18713220,2026,6.593377e-06
0,New York,18713220,2027,7.725946e-06
0,New York,18713220,2028,7.379533e-06
0,New York,18713220,2029,7.439328e-06
0,New York,18713220,2030,7.1198397e-06
0,New York,18713220,2031,5.1501725e-06
0,New York,18713220,2032,7.203083e-06
0,New York,18713220,2033,9.903574e-06
0,New York,18713220,2034,1.0419491e-05
0,New York,18713220,2035,1.0922525e-05
0,New York,18713220,2036,8.448297e-06
0,New York,18713220,2037,8.129249e-06
0,New York,18713220,2038,7.12469e-06
0,New York,18713220,2039,1.0871229e-05
0,New York,18713220,2040,6.7311717e-06
0,New York,18713220,2041,8.948935e-06
0,New York,18713220,2042,9.908577e-06
0,New York,18713220,2043,1.1175918e-05
0,New York,18713220,2044,8.920407e-06
0,New York,18713220,2045,8.259981e-06
0,New York,18713220,2046,8.441524e-06
0,New York,18713220,2047,8.629865e-06
0,New York,18713220,2048,8.629032e-06
0,New York,18713220,2049,1.1625393e-05
0,New York,18713220,2050,1.1334065e-05
0,New York,18713220,2051,4.275948e-06
0,New York,18713220,2052,8.118496e-06
0,New York,18713220,2053,7.773933e-06
0,New York,18713220,2054,7.931646e-06
0,New York,18713220,2055,5.1951733e-06
0,New York,18713220,2056,5.8746095e-06
0,New York,18713220,2057,8.480645e-06
0,New York,18713220,2058,1.4093502e-05
0,New York,18713220,2059,7.3106935e-06
0,New York,18713220,2060,6.761076e-06
0,New York,18713220,2061,7.1664485e-06
0,New York,18713220,2062,9.70135e-06
0,New York,18713220,2063,1.1682635e-05
0,New York,18713220,2064,1.01519645e-05
0,New York,18713220,2065,8.263122e-06
0,New York,18713220,2066,9.311617e-06
0,New York,18713220,2067,1.09794055e-05
0,New York,18713220,2068,1.3300573e-05
0,New York,18713220,2069,7.2372673e-06
0,New York,18713220,2070,9.2873925e-06
0,New York,18713220,2071,9.509682e-06
0,New York,18713220,2072,5.015126e-06
0,New York,18713220,2073,7.901089e-06
0,New York,18713220,2074,1.3505043e-05
0,New York,18713220,2075,9.948063e-06
0,New York,18713220,2076,1.1556815e-05
0,New York,18713220,2077,1.3483935e-05
0,New York,18713220,2078,6.0414677e-06
0,New York,18713220,2079,1.1551138e-05
0,New York,18713220,2080,1.1190316e-05
0,New York,18713220,2081,6.0673933e-06
0,New York,18713220,2082,9.880467e-06
0,New York,18713220,2083,6.6538705e-06
0,New York,18713220,2084,6.9750317e-06
0,New York,18713220,2085,1.0849569e-05
0,New York,18713220,2086,1.3954727e-05
0,New York,18713220,2087,8.155586e-06
0,New York,18713220,2088,8.697029e-06
0,New York,18713220,2089,9.144186e-06
0,New York,18713220,2090,5.360285e-06
0,New York,18713220,2091,9.636902e-06
0,New York,18713220,2092,1.0907902e-05
0,New York,18713220,2093,1.2596047e-05
0,New York,18713220,2094,9.832107e-06
0,New York,18713220,2095,7.5133116e-06
0,New York,18713220,2096,8.627444e-06
0,New York,18713220,2097,8.360281e-06
0,New York,18713220,2098,8.883936e-06
0,New York,18713220,2099,8.15807e-06
0,New York,18713220,2100,1.1553458e-05
1,Los Angeles,12750807,2015,1.21225685e-05
1,Los Angeles,12750807,2016,6.9645794e-06
1,Los Angeles,12750807,2017,2.75172e-06
1,Los Angeles,12750807,2018,5.6692734e-06
1,Los Angeles,12750807,2019,6.2423223e-06
1,Los Angeles,12750807,2020,8.527975e-06
1,Los Angeles,12750807,2021,9.711221e-06
1,Los Angeles,12750807,2022,6.939059e-06
1,Los Angeles,12750807,2023,1.0395735e-05
1,Los Angeles,12750807,2024,5.059375e-06
1,Los Angeles,12750807,2025,3.9384618e-06
1,Los Angeles,12750807,2026,3.8616154e-06
1,Los Angeles,12750807,2027,5.6158988e-06
1,Los Angeles,12750807,2028,7.896875e-06
1,Los Angeles,12750807,2029,6.7016153e-06
1,Los Angeles,12750807,2030,7.770195e-06
1,Los Angeles,12750807,2031,5.185568e-06
1,Los Angeles,12750807,2032,1.0091105e-05
1,Los Angeles,12750807,2033,5.9541744e-06
1,Los Angeles,12750807,2034,4.0843975e-06
1,Los Angeles,12750807,2035,6.039747e-06
1,Los Angeles,12750807,2036,4.2818933e-06
1,Los Angeles,12750807,2037,9.420196e-06
1,Los Angeles,12750807,2038,7.760152e-06
1,Los Angeles,12750807,2039,8.513951e-06
1,Los Angeles,12750807,2040,1.0887018e-05
1,Los Angeles,12750807,2041,1.1685864e-05
1,Los Angeles,12750807,2042,6.7010683e-06
1,Los Angeles,12750807,2043,9.236885e-06
1,Los Angeles,12750807,2044,7.6356855e-06
1,Los Angeles,12750807,2045,8.418284e-06
1,Los Angeles,12750807,2046,9.148559e-06
1,Los Angeles,12750807,2047,7.848715e-06
1,Los Angeles,12750807,2048,3.601078e-06
1,Los Angeles,12750807,2049,7.6106785e-06
1,Los Angeles,12750807,2050,6.3525845e-06
1,Los Angeles,12750807,2051,8.276146e-06
1,Los Angeles,12750807,2052,4.657189e-06
1,Los Angeles,12750807,2053,3.024059e-06
1,Los Angeles,12750807,2054,8.644026e-06
1,Los Angeles,12750807,2055,7.6085466e-06
1,Los Angeles,12750807,2056,3.0472747e-06
1,Los Angeles,12750807,2057,6.052264e-06
1,Los Angeles,12750807,2058,7.899201e-06
1,Los Angeles,12750807,2059,1.1227202e-05
1,Los Angeles,12750807,2060,4.9274117e-06
1,Los Angeles,12750807,2061,5.879265e-06
