city,year,pr
Abilene,1850,1.8914758e-05
Abilene,1851,8.585699e-06
Abilene,1852,1.8628316e-05
Abilene,1853,1.981371e-05
Abilene,1854,1.8722218e-05
Abilene,1855,1.702998e-05
Abilene,1856,2.2348146e-05
Abilene,1857,1.5366579e-05
Abilene,1858,1.3152399e-05
Abilene,1859,2.1308993e-05
Abilene,1860,1.6074364e-05
Abilene,1861,1.8602308e-05
Abilene,1862,1.8619518e-05
Abilene,1863,1.1503932e-05
Abilene,1864,9.254198e-06
Abilene,1865,2.0006786e-05
Abilene,1866,2.1642127e-05
Abilene,1867,1.8274526e-05
Abilene,1868,1.9835694e-05
Abilene,1869,1.3227203e-05
Abilene,1870,1.3439741e-05
Abilene,1871,1.7080398e-05
Abilene,1872,1.9907848e-05
Abilene,1873,1.5882246e-05
Abilene,1874,1.2552417e-05
Abilene,1875,2.5946147e-05
Abilene,1876,1.2987599e-05
Abilene,1877,1.730002e-05
Abilene,1878,2.0324063e-05
Abilene,1879,1.610529e-05
Abilene,1880,1.8798017e-05
Abilene,1881,2.8598137e-05
Abilene,1882,1.5039735e-05
Abilene,1883,2.5992515e-05
Abilene,1884,2.46204e-05
Abilene,1885,2.4179104e-05
Abilene,1886,1.1446376e-05
Abilene,1887,1.3568869e-05
Abilene,1888,2.7821623e-05
Abilene,1889,1.6758318e-05
Abilene,1890,1.7149634e-05
Abilene,1891,1.473996e-05
Abilene,1892,2.1906491e-05
Abilene,1893,2.0376154e-05
Abilene,1894,1.8654491e-05
Abilene,1895,1.2766552e-05
Abilene,1896,1.2349243e-05
Abilene,1897,2.2345104e-05
Abilene,1898,1.6248292e-05
Abilene,1899,1.322823e-05
Abilene,1900,1.6951306e-05
Abilene,1901,2.5856076e-05
Abilene,1902,2.2234308e-05
Abilene,1903,1.8074365e-05
Abilene,1904,1.1650667e-05
Abilene,1905,1.638506e-05
Abilene,1906,1.3269011e-05
Abilene,1907,1.7208136e-05
Abilene,1908,2.013528e-05
Abilene,1909,1.6638862e-05
Abilene,1910,1.4097738e-05
Abilene,1911,1.9908322e-05
Abilene,1912,2.0533793e-05
Abilene,1913,2.1216596e-05
Abilene,1914,1.787322e-05
Abilene,1915,2.1375801e-05
Abilene,1916,2.297645e-05
Abilene,1917,1.1959841e-05
Abilene,1918,1.782963e-05
Abilene,1919,1.2454482e-05
Abilene,1920,1.7388827e-05
Abilene,1921,1.2661657e-05
Abilene,1922,2.3532224e-05
Abilene,1923,1.5514519e-05
Abilene,1924,1.8189554e-05
